Name,Symbol,Market_Cap(USD),Price_(USD),Percentage_Change
Bitcoin,BTC,691182738822.5948015050364775,35379.0010671086491331,1.9916339349922617
Ethereum,ETH,226935632986.4660021861759118,1886.9205417105328138,0.5203744026649770
Tether,USDT,86156415467.0176283797571078,1.0008053740222145,0.0005056643098438
BNB,BNB,41143373039.9419993617129264,246.6612102690204468,-0.3681906040229889
XRP,XRP,31520456456.9171499806980160,0.6942215790329294,1.1074736491460609
USDC,USDC,24413810002.9169717934116755,1.0003781689194492,0.0126819690826150
Solana,SOL,18154982702.6626018514556308,43.1336456665884267,4.9293250404831708
Cardano,ADA,12528094499.7948223825346876,0.3553207178537512,2.6948225935336698
Dogecoin,DOGE,10562626408.5701699397067595,0.0745188971522621,1.3121884996441851
TRON,TRX,8679637689.7594149199893161,0.0978219139368528,1.3644945346545045
Chainlink,LINK,7589350226.1204648440345349,13.6290753862290785,5.7679299423548669
Polygon,MATIC,7106410452.8721406963595349,0.7686782419116035,7.7529897011628128
Polkadot,DOT,6404946573.0293698870268967,4.9486611591181342,1.4490542604314862
Wrapped Bitcoin,WBTC,5798286160.4424514891166121,35389.5260478344164423,1.9447840880538733
Litecoin,LTC,5433516561.7550808588359580,73.5743451962244786,1.0740212835093794
Multi Collateral DAI,DAI,5341292677.5526696024784975,0.9987666313395189,-0.1364576250524401
Shiba Inu,SHIB,4877155017.0875368424542602,0.0000082755248157,1.0348106327591995
Bitcoin Cash,BCH,4765689325.4909824002477063,243.7279783408045261,-0.2895069667226144
Avalanche,AVAX,4560473265.6870435482453727,12.8333862173970787,0.9623466660690053
UNUS SED LEO,LEO,3796515390.0305210489714630,4.0883554882582089,3.1858026407764195
Stellar,XLM,3570633816.8757398922886182,0.1277847399736493,0.4721783609235801
TrueUSD,TUSD,3333790555.6515080358791745,0.9997660973808431,0.0397894515152243
Monero,XMR,3037010879.1202178939208151,165.4568244179772958,0.3453554963127749
Uniswap,UNI,3035957539.2069150877080373,5.1615514421756039,5.3508429318255591
Ethereum Classic,ETC,2619609930.9292151905548104,18.2023403159972902,0.9616777133987018
Cosmos,ATOM,2147379357.3878836805475332,8.6429933232692932,3.4986140980357285
